Frederiksberg;147;170.6
Dragør;155;166.13
Aalborg;851;165.64
Randers;730;164.58
Rødovre;175;161.9
Hørsholm;223;155.88
Ishøj;183;146.69
København;101;142.26
Rudersdal;230;139.5
Gribskov;270;137.24
Køge;259;131.23
Aarhus;751;124.15
Frederikshavn;813;122.98
Herlev;163;121.49
Brøndby;153;116.63
Faxe;320;115.29
Greve;253;115.21
Gladsaxe;159;112.38
Albertslund;165;112.15
Samsø;741;109.67
Høje-Taastrup;169;108.95
Gentofte;157;107.35
Roskilde;265;105.4
Jammerbugt;849;104.71
Tårnby;185;103.68
Ballerup;151;100.14
Odsherred;306;96.29
Vallensbæk;187;95.76
Glostrup;161;95.28
Vejen;575;93.76
Egedal;240;92.28
Næstved;370;91.07
Norddjurs;707;90.54
Solrød;269;90.45
Vesthimmerlands;820;89.15
Lyngby-Taarbæk;173;88.98
Brønderslev;810;87.33
Hillerød;219;86.49
Skive;779;79.95
Helsingør;217;78.54
Hvidovre;167;78.5
Mariagerfjord;846;76.65
Slagelse;330;75.27
Vejle;630;73.65
Hjørring;860;71.16
Stevns;336;70.87
Allerød;201;67.66
Furesø;190;66.12
Favrskov;710;63.86
Frederikssund;250;63.59
Rebild;840;60.66
Syddjurs;706;60.37
Skanderborg;746;59.25
Holstebro;661;56.66
Odense;461;54.23
Horsens;615;53.87
Lejre;350;52.58
Fredensborg;210;49.71
Billund;530;49
Holbæk;316;46.41
Ringsted;329;45.82
Ringkøbing-Skjern;760;42.91
Nordfyns;480;41.3
Sorø;340;40.82
Kerteminde;440;40.43
Herning;657;40.12
Esbjerg;561;38.81
Hedensted;766;37.92
Thisted;787;37.63
Fanø;563;37.13
Fredericia;607;36.62
Halsnæs;260;36.2
Silkeborg;740;34.87
Assens;420;33.3
Tønder;550;32.97
Ikast-Brande;756;32.62
Viborg;791;31.54
Varde;573;30.74
Nyborg;450;29.28
Vordingborg;390;28.41
Kalundborg;326;26.09
Haderslev;510;25.68
Svendborg;479;25.38
Bornholm;400;25.11
Struer;671;24.05
Guldborgsund;376;23.84
Middelfart;410;23.78
Kolding;621;22.96
Sønderborg;540;21.71
Morsø;773;20.95
Faaborg-Midtfyn;430;17.75
Lolland;360;16.04
Lemvig;665;14.53
Aabenraa;580;11.65
Odder;727;11.1
Ærø;492;0
Langeland;482;0
Christiansø;411;0
Læsø;825;0